Reprocess Remarks,Top Clients,Total
Update experience details,Vodafone Idea Limited,24
Update experience details,Pocket Entertainment Ventures Private Limited,17
Update experience details,Sbi Cards And Payment Services Limited,11
Update education details,Samsung India Electronics Private Limited,196
12th marksheet not uploaded,Samsung India Electronics Private Limited,196
Update education details,Sbi Cards And Payment Services Limited,117
12th marksheet not uploaded,Sbi Cards And Payment Services Limited,117
Update education details,Bharti Airtel Limited,55
12th marksheet not uploaded,Bharti Airtel Limited,55
Update education details,Axis Bank Limited,17
12th marksheet not uploaded,Axis Bank Limited,17
Update education details,Reliance Projects And Property Management Services Limited,11
12th marksheet not uploaded,Reliance Projects And Property Management Services Limited,11
Update education details,Behariji Mills Pvt Ltd,5
12th marksheet not uploaded,Behariji Mills Pvt Ltd,5
Update education details,Xiaomi Technology India Private Limited,5
12th marksheet not uploaded,Xiaomi Technology India Private Limited,5
Update education details,Poonawalla Fincorp Limited,5
12th marksheet not uploaded,Poonawalla Fincorp Limited,5
Update education details,State Bank Of India,2
12th marksheet not uploaded,State Bank Of India,2
Update education details,Bharti Airtel Services Limited,1
12th marksheet not uploaded,Bharti Airtel Services Limited,1
Update education details,Tvs Credit,1
12th marksheet not uploaded,Tvs Credit,1
Update education details,Aditya Birla Lifestyle Brands Limited,1
12th marksheet not uploaded,Aditya Birla Lifestyle Brands Limited,1
Update education details,Hindustan Field Services Pvt Ltd,1
12th marksheet not uploaded,Hindustan Field Services Pvt Ltd,1
Update experience details,Samsung India Electronics Private Limited,120
Update experience details,Tvs Credit,81
Update experience details,Sbi Cards And Payment Services Limited,51
Update experience details,Aditya Birla Lifestyle Brands Limited,34
Update experience details,Urban Company Limited,19
Update experience details,Behariji Mills Pvt Ltd,18
Update experience details,Instakart Services Private Limited,17
Update experience details,Pocket Entertainment Ventures Private Limited,15
Update experience details,Hindustan Field Services Pvt Ltd,14
Update experience details,State Bank Of India,13
Update experience details,Vodafone Idea Limited,9
Update experience details,Havells India Limited,5
Update experience details,Xiaomi Technology India Private Limited,4
Update experience details,Bharti Airtel Limited,3
Update experience details,Bharti Airtel Services Limited,1
Update experience details,Reliance Projects And Property Management Services Limited,1
Bank proof clarity required,Axis Bank Limited,380
Update KYC details,Axis Bank Limited,380
Upload bank proof,Axis Bank Limited,380
Joint bank account not accepted,Tml Commercial Vehicles Limited,73
Joint bank account not accepted,Sbi Cards And Payment Services Limited,67
Joint bank account not accepted,Hindustan Field Services Pvt Ltd,62
Joint bank account not accepted,Urban Company Limited,39
Joint bank account not accepted,Instakart Services Private Limited,28
Joint bank account not accepted,Samsung India Electronics Private Limited,23
Joint bank account not accepted,Xiaomi Technology India Private Limited,21
Joint bank account not accepted,Tvs Credit,18
Joint bank account not accepted,Aditya Birla Lifestyle Brands Limited,10
Joint bank account not accepted,Bharti Airtel Services Limited,6
Joint bank account not accepted,Vodafone Idea Limited,6
Joint bank account not accepted,Reliance Projects And Property Management Services Limited,4
Joint bank account not accepted,Bharti Airtel Limited,2
Update experience details,Poonawalla Fincorp Limited,231
Experience doc not uploaded,Poonawalla Fincorp Limited,231
Update experience details,Axis Bank Limited,79
Experience doc not uploaded,Axis Bank Limited,79
Update experience details,Xiaomi Technology India Private Limited,16
Experience doc not uploaded,Xiaomi Technology India Private Limited,16
Update experience details,Vodafone Idea Limited,6
Experience doc not uploaded,Vodafone Idea Limited,6
Update experience details,Samsung India Electronics Private Limited,6
Experience doc not uploaded,Samsung India Electronics Private Limited,6
Update experience details,Instakart Services Private Limited,5
Experience doc not uploaded,Instakart Services Private Limited,5
Update experience details,Urban Company Limited,5
Experience doc not uploaded,Urban Company Limited,5
Update experience details,Aditya Birla Lifestyle Brands Limited,2
Experience doc not uploaded,Aditya Birla Lifestyle Brands Limited,2
Update experience details,Behariji Mills Pvt Ltd,1
Experience doc not uploaded,Behariji Mills Pvt Ltd,1
Update experience details,Tvs Credit,1
Experience doc not uploaded,Tvs Credit,1
Update experience details,Aditya Birla Lifestyle Brands Limited,79
Upload experience letter,Aditya Birla Lifestyle Brands Limited,79
Upload resume,Aditya Birla Lifestyle Brands Limited,79
Update experience details,Tvs Credit,73
Upload experience letter,Tvs Credit,73
Upload resume,Tvs Credit,73
Update experience details,Instakart Services Private Limited,41
Upload experience letter,Instakart Services Private Limited,41
Upload resume,Instakart Services Private Limited,41
Update experience details,Hindustan Field Services Pvt Ltd,40
Upload experience letter,Hindustan Field Services Pvt Ltd,40
Upload resume,Hindustan Field Services Pvt Ltd,40
Update experience details,Urban Company Limited,36
Upload experience letter,Urban Company Limited,36
Upload resume,Urban Company Limited,36
Update experience details,Havells India Limited,26
Upload experience letter,Havells India Limited,26
Upload resume,Havells India Limited,26
Update experience details,Pocket Entertainment Ventures Private Limited,21
Upload experience letter,Pocket Entertainment Ventures Private Limited,21
Upload resume,Pocket Entertainment Ventures Private Limited,21
Update experience details,Vodafone Idea Limited,14
Upload experience letter,Vodafone Idea Limited,14
Upload resume,Vodafone Idea Limited,14
Update experience details,Samsung India Electronics Private Limited,12
Upload experience letter,Samsung India Electronics Private Limited,12
Upload resume,Samsung India Electronics Private Limited,12
Upload bank proof,Sbi Cards And Payment Services Limited,133
Upload bank proof,Axis Bank Limited,44
Upload bank proof,Tml Commercial Vehicles Limited,39
Upload bank proof,Instakart Services Private Limited,30
Upload bank proof,Urban Company Limited,27
Upload bank proof,Samsung India Electronics Private Limited,19
Upload bank proof,Reliance Projects And Property Management Services Limited,11
Upload bank proof,Hindustan Field Services Pvt Ltd,10
Upload bank proof,Bharti Airtel Limited,9
Upload bank proof,Tvs Credit,2
Upload bank proof,Bharti Airtel Services Limited,1
Upload bank proof,Xiaomi Technology India Private Limited,1
Upload bank proof,Vodafone Idea Limited,1
PF e-nomination proof required,Canara Hsbc Life Insurance Company Limited,327
Please upload the digital singed pf e nomination form post completing the pf nom,Canara Hsbc Life Insurance Company Limited,322
Update experience details,Samsung India Electronics Private Limited,140
Resume not uploaded,Samsung India Electronics Private Limited,140
Update experience details,Poonawalla Fincorp Limited,94
Resume not uploaded,Poonawalla Fincorp Limited,94
Update experience details,Bharti Airtel Limited,54
